--- Recording Logitech F310 Activity from /dev/input/js0 ---
--- Press Ctrl+C to exit ---

 EVENT  | Type: Axis   | ID: 3  | Value: 22016
 EVENT  | Type: Axis   | ID: 3  | Value: 17872
 EVENT  | Type: Axis   | ID: 3  | Value: 13728
 EVENT  | Type: Axis   | ID: 3  | Value: 9583
 EVENT  | Type: Axis   | ID: 3  | Value: 5439
 EVENT  | Type: Axis   | ID: 3  | Value: 2849
 EVENT  | Type: Axis   | ID: 3  | Value: 5439
 EVENT  | Type: Axis   | ID: 3  | Value: 9583
 EVENT  | Type: Axis   | ID: 3  | Value: 13728
 EVENT  | Type: Axis   | ID: 3  | Value: 17872
 EVENT  | Type: Axis   | ID: 3  | Value: 22016
 EVENT  | Type: Axis   | ID: 3  | Value: 26161
 EVENT  | Type: Axis   | ID: 3  | Value: 30305
 EVENT  | Type: Axis   | ID: 3  | Value: 32767
 EVENT  | Type: Axis   | ID: 3  | Value: 30305
 EVENT  | Type: Axis   | ID: 3  | Value: 26161
 EVENT  | Type: Axis   | ID: 3  | Value: 22016
 EVENT  | Type: Axis   | ID: 3  | Value: 17872
 EVENT  | Type: Axis   | ID: 3  | Value: 13728
 EVENT  | Type: Axis   | ID: 3  | Value: 9583
 EVENT  | Type: Axis   | ID: 3  | Value: 5439
 EVENT  | Type: Axis   | ID: 3  | Value: 1295
 EVENT  | Type: Axis   | ID: 3  | Value: 0
 EVENT  | Type: Axis   | ID: 3  | Value: 4144
 EVENT  | Type: Axis   | ID: 3  | Value: 8288
 EVENT  | Type: Axis   | ID: 3  | Value: 12433
 EVENT  | Type: Axis   | ID: 3  | Value: 16318
 EVENT  | Type: Axis   | ID: 4  | Value: -2074
 EVENT  | Type: Axis   | ID: 3  | Value: 20462
 EVENT  | Type: Axis   | ID: 4  | Value: -2851
 EVENT  | Type: Axis   | ID: 3  | Value: 24607
 EVENT  | Type: Axis   | ID: 4  | Value: -3628
 EVENT  | Type: Axis   | ID: 3  | Value: 28751
 EVENT  | Type: Axis   | ID: 4  | Value: -4405
 EVENT  | Type: Axis   | ID: 3  | Value: 32767
 EVENT  | Type: Axis   | ID: 4  | Value: -5182
 EVENT  | Type: Axis   | ID: 4  | Value: -5959
 EVENT  | Type: Axis   | ID: 3  | Value: 29010
 EVENT  | Type: Axis   | ID: 3  | Value: 24866
 EVENT  | Type: Axis   | ID: 4  | Value: -3887
 EVENT  | Type: Axis   | ID: 3  | Value: 20721
 EVENT  | Type: Axis   | ID: 4  | Value: -3110
 EVENT  | Type: Axis   | ID: 3  | Value: 16577
 EVENT  | Type: Axis   | ID: 4  | Value: -2333
 EVENT  | Type: Axis   | ID: 3  | Value: 12692
 EVENT  | Type: Axis   | ID: 4  | Value: -1556
 EVENT  | Type: Axis   | ID: 3  | Value: 8547
 EVENT  | Type: Axis   | ID: 4  | Value: -779
 EVENT  | Type: Axis   | ID: 3  | Value: 4403
 EVENT  | Type: Axis   | ID: 4  | Value: -261
 EVENT  | Type: Axis   | ID: 3  | Value: 259
 EVENT  | Type: Axis   | ID: 4  | Value: -2
 EVENT  | Type: Axis   | ID: 3  | Value: 0
 EVENT  | Type: Axis   | ID: 6  | Value: -32767
 EVENT  | Type: Axis   | ID: 6  | Value: 0
 EVENT  | Type: Axis   | ID: 6  | Value: -32767
 EVENT  | Type: Axis   | ID: 7  | Value: 32767
 EVENT  | Type: Axis   | ID: 4  | Value: 2331
 EVENT  | Type: Axis   | ID: 4  | Value: 6475
 EVENT  | Type: Axis   | ID: 4  | Value: 10619
 EVENT  | Type: Axis   | ID: 4  | Value: 14764
 EVENT  | Type: Axis   | ID: 6  | Value: 0
 EVENT  | Type: Axis   | ID: 4  | Value: 18908
 EVENT  | Type: Axis   | ID: 4  | Value: 23053
 EVENT  | Type: Axis   | ID: 4  | Value: 27197
 EVENT  | Type: Axis   | ID: 4  | Value: 31341
 EVENT  | Type: Axis   | ID: 4  | Value: 32767
 EVENT  | Type: Axis   | ID: 3  | Value: 2590
 EVENT  | Type: Axis   | ID: 3  | Value: 3626
 EVENT  | Type: Axis   | ID: 3  | Value: 4921
 EVENT  | Type: Axis   | ID: 3  | Value: 6216
 EVENT  | Type: Axis   | ID: 3  | Value: 7770
 EVENT  | Type: Axis   | ID: 3  | Value: 9324
 EVENT  | Type: Axis   | ID: 3  | Value: 10619
 EVENT  | Type: Axis   | ID: 3  | Value: 13987
 EVENT  | Type: Axis   | ID: 7  | Value: 0
 EVENT  | Type: Axis   | ID: 3  | Value: 17095
 EVENT  | Type: Axis   | ID: 3  | Value: 20203
 EVENT  | Type: Axis   | ID: 3  | Value: 23053
 EVENT  | Type: Axis   | ID: 3  | Value: 25643
 EVENT  | Type: Axis   | ID: 3  | Value: 28233
 EVENT  | Type: Axis   | ID: 4  | Value: 29787
 EVENT  | Type: Axis   | ID: 3  | Value: 30564
 EVENT  | Type: Axis   | ID: 4  | Value: 25643
 EVENT  | Type: Axis   | ID: 4  | Value: 21498
 EVENT  | Type: Axis   | ID: 3  | Value: 26679
 EVENT  | Type: Axis   | ID: 4  | Value: 17354
 EVENT  | Type: Axis   | ID: 3  | Value: 22535
 EVENT  | Type: Axis   | ID: 4  | Value: 12692
